"CategoryId"	"ParentCategoyrId"	"Position"
"sale-sleepwear"	"sale-promo"	"34"
"sale-19.50"	"sale-promo"	"35"
"sale-outlet-steals"	"sale"	"1"
"clearance"	"sale"	"2"
"CLR-G11"	"clearance"	"0"
"CLR-G12"	"clearance"	"1"
"CLR-G13"	"clearance"	"2"
"CLR-G13-D29"	"clearance"	"3"
"CLR-G14"	"clearance"	"4"
"CLR-G15"	"clearance"	"5"
"last-chance-3dollars"	"clearance"	"6"
"CLR-G16"	"clearance"	"7"
"hot-spot"	""	"9"
"hotspot-trends"	"hot-spot"	"0"
"trends-sports-soccer-teams"	"hotspot-trends"	"0"
"trends-back-details"	"hotspot-trends"	"1"
"trends-party-dresses"	"hotspot-trends"	"2"
"trends-boho-summer"	"hotspot-trends"	"3"
"trends-sun-seeker-lookbook"	"trends-boho-summer"	"0"
"trends-sports-teams-apparel"	"hotspot-trends"	"4"
"trends-crop-tops-smocked-soft-shorts"	"hotspot-trends"	"5"
"trends-boho-global-prints"	"hotspot-trends"	"6"
"global-lookbook"	"trends-boho-global-prints"	"0"
"trends-personality-graphic-tees"	"hotspot-trends"	"7"
"trends-personality-graphic-tees-boho"	"trends-personality-graphic-tees"	"0"
"trends-personality-graphic-tees-grunge"	"trends-personality-graphic-tees"	"1"
"trends-personality-graphic-tees-hipster"	"trends-personality-graphic-tees"	"2"
"trends-personality-graphic-tees-edgy"	"trends-personality-graphic-tees"	"3"
"trends-favorite-cartoons"	"hotspot-trends"	"8"
"trends-superhero-style"	"hotspot-trends"	"9"
"trends-how-to-wear-slip-dresses"	"hotspot-trends"	"10"
"trends-how-to-wear-crop-tops"	"hotspot-trends"	"11"
"trends-sunflowers-daisies-print"	"hotspot-trends"	"12"
"trends-crochet"	"hotspot-trends"	"13"
"trends-bright-colors-tropical-prints"	"hotspot-trends"	"14"
"haute-tropics-lookbook"	"trends-bright-colors-tropical-prints"	"0"
"trends-boho-neutral"	"hotspot-trends"	"15"
"desert-sand-lookbook"	"trends-boho-neutral"	"0"
"trends-western-boho"	"hotspot-trends"	"16"
"trends-shop-by-personality"	"hotspot-trends"	"17"
"trends-shop-by-personality-edgy"	"trends-shop-by-personality"	"0"
"trends-shop-by-personality-girly"	"trends-shop-by-personality"	"1"
"trends-shop-by-personality-sporty"	"trends-shop-by-personality"	"2"
"trends-shop-by-personality-glam"	"trends-shop-by-personality"	"3"
"trends-shop-by-personality-grunge"	"trends-shop-by-personality"	"4"
"trends-shop-by-personality-boho"	"trends-shop-by-personality"	"5"
"trends-online-exclusive"	"hotspot-trends"	"18"
"trends-sports-basketball"	"hotspot-trends"	"19"
"trends-slip-dresses"	"hotspot-trends"	"20"
"trends-white-dresses"	"hotspot-trends"	"21"
"trends-festival-essentials"	"hotspot-trends"	"22"
"trends-sets"	"hotspot-trends"	"23"
"trends-spring-break"	"hotspot-trends"	"24"
"trend-spring-top-five"	"hotspot-trends"	"25"
"trends-festival-swim"	"hotspot-trends"	"26"
"trends-crop-tops-and-soft-pants"	"hotspot-trends"	"27"
"trends-viva-la-fiesta"	"hotspot-trends"	"28"
"viva-la-fiesta-lookbook"	"trends-viva-la-fiesta"	"0"
"trends-cotton-candy"	"hotspot-trends"	"29"
"cotton-candy-lookbook"	"trends-cotton-candy"	"0"
"trends-urban-boho"	"hotspot-trends"	"30"
"urban-boho-lookbook"	"trends-urban-boho"	"0"
"trends-spring-hit-list"	"hotspot-trends"	"31"
"trends-valentines-dresses"	"hotspot-trends"	"32"
"vday-lookbook"	"trends-valentines-dresses"	"0"
"trends-sweet-talker"	"hotspot-trends"	"33"
"sweet-talker-lookbook"	"trends-sweet-talker"	"0"
"trends-warm-weather"	"hotspot-trends"	"34"
"trends-boho-spirit"	"hotspot-trends"	"35"
"trends-skater-girl"	"hotspot-trends"	"36"
"trends-pretty-in-punk"	"hotspot-trends"	"37"
"trends-vintagegrunge"	"hotspot-trends"	"38"
"trends-shinyhappypeople"	"hotspot-trends"	"39"
"trends-fallfestival"	"hotspot-trends"	"40"
"trends-graphicimpact"	"hotspot-trends"	"41"
"trends-halloween"	"hotspot-trends"	"42"
"trends-bright-colors-floral-prints"	"hotspot-trends"	"43"
"hot-spot-contests"	"hot-spot"	"1"
"crush-by-abc-family"	"hot-spot"	"2"
"crush-by-abc-family-shop"	"crush-by-abc-family"	"0"
"hot-spot-socialmedia"	"hot-spot"	"3"
"hot-spot-asseenin"	"hot-spot"	"4"
"hot-spot-gift-guide"	"hot-spot"	"5"
"gift-guide-under-5"	"hot-spot-gift-guide"	"0"
"gift-guide-under-10"	"hot-spot-gift-guide"	"1"
"gift-guide-under-20"	"hot-spot-gift-guide"	"2"
"gifts-guide-under-30"	"hot-spot-gift-guide"	"3"
"hot-spot-rampage"	"hot-spot"	"6"
"hidden categories"	""	"10"
"special-features-steals-bottoms"	"hidden categories"	"0"
"special-features-steals-sunglasses-scarves-jewelry-hair"	"hidden categories"	"1"
"special-features-steals-shortalls-dresses"	"hidden categories"	"2"
"special-features-steals-shorts-slip-dresses"	"hidden categories"	"3"
"special-features-animal-print-crop-tops"	"hidden categories"	"4"
"special-features-soft-smocked-shorts"	"hidden categories"	"5"
"special-features-floral-gypsy-maxi-dress"	"hidden categories"	"6"
"special-features-foldover-maxi-skirt"	"hidden categories"	"7"
"special-features-slip-maxi-dress"	"hidden categories"	"8"
"special-features-striped-maxi-dress"	"hidden categories"	"9"
"special-features-swim-ruffle"	"hidden categories"	"10"
"special-features-swim-fringe"	"hidden categories"	"11"
"special-features-floral-skater-skirts"	"hidden categories"	"12"
